ID,UserSeq,Date,Instrument,Type,Side,Amount,Position,Price,Mark Price,Index Price,Cash Flow,Funding,Fee Rate,Fee Charged,Fee Balance,Change,Balance,Equity,Trade ID,Order ID,Info
356385429,1.69E+15,7/18/2023 20:35,BTC-PERPETUAL,trade,open sell,29760,-2536030,29762.5,29763.3,29754.68,0,0.00394413,0.05,0.00049996,0,-0.00049996,100.6499733,101.23,172687696,16770229436,Source: 'api:OfelyaRza'
356199284,1.69E+15,7/18/2023 12:42,BTC-PERPETUAL,trade,open sell,29820,-2506270,29819,29815.16,29801.29,0,0.00009924,0.05,0.00050002,0,-0.00050002,100.6504733,101.08,172594440,16765624012,Source: 'api:OfelyaRza'
356182459,1.69E+15,7/18/2023 12:08,BTC-PERPETUAL,trade,open sell,29920,-2476450,29918.5,29919.32,29907.08,0,0.0000419,0.05,0.00050003,0,-0.00050003,100.6509733,100.79,172586032,16765295019,Source: 'api:OfelyaRza'
356180420,1.69E+15,7/18/2023 12:02,BTC-PERPETUAL,trade,open sell,29930,-2446530,29926,29927.02,29913.66,0,0.00000416,0.05,0.00050007,0,-0.00050007,100.6514733,100.77,172585013,16765241858,Source: 'api:OfelyaRza'
356179172,1.69E+15,7/18/2023 11:59,BTC-PERPETUAL,trade,open sell,29770,-2416600,29899,29898.01,29884.85,0,0,0.05,0.00049784,0,-0.00049784,100.6519734,100.85,172584393,16765212172,Source: 'api:OfelyaRza'
356179171,1.69E+15,7/18/2023 11:59,BTC-PERPETUAL,trade,open sell,30,-2386830,29899,29898.01,29884.85,0,0,0.05,5.00E-07,0,-5.00E-07,100.6524713,100.85,172584392,16765212172,Source: 'api:OfelyaRza'
356179170,1.69E+15,7/18/2023 11:59,BTC-PERPETUAL,trade,open sell,100,-2386800,29899,29898.01,29884.85,0,0,0.05,0.00000167,0,-0.00000167,100.6524718,100.85,172584391,16765212172,Source: 'api:OfelyaRza'
356178444,1.69E+15,7/18/2023 11:58,BTC-PERPETUAL,trade,open sell,29910,-2386700,29907.5,29908.51,29898.12,0,0,0.05,0.00050004,0,-0.00050004,100.6524734,100.82,172584029,16765194393,Source: 'api:OfelyaRza'
356177297,1.69E+15,7/18/2023 11:56,BTC-PERPETUAL,trade,open sell,29110,-2356790,29878.5,29879.48,29875.61,0,0,0.05,0.00048714,0,-0.00048714,100.6529735,100.9,172583456,16765171521,Source: 'api:OfelyaRza'
356177296,1.69E+15,7/18/2023 11:56,BTC-PERPETUAL,trade,open sell,680,-2327680,29879,29879.48,29875.61,0,0,0.05,0.00001138,0,-0.00001138,100.6534606,100.9,172583455,16765171521,Source: 'api:OfelyaRza'
356177295,1.69E+15,7/18/2023 11:56,BTC-PERPETUAL,trade,open sell,100,-2327000,29884,29879.48,29875.61,0,0.00001222,0.05,0.00000167,0,-0.00000167,100.653472,100.9,172583454,16765171521,Source: 'api:OfelyaRza'
356174696,1.69E+15,7/18/2023 11:48,BTC-PERPETUAL,trade,open sell,6810,-2326900,29995.5,29995.06,29982.36,0,0,0.05,0.00011352,0,-0.00011352,100.6534737,100.6,172582157,16765093937,Source: 'api:OfelyaRza'
356174695,1.69E+15,7/18/2023 11:48,BTC-PERPETUAL,trade,open sell,16870,-2320090,29996,29995.06,29982.36,0,0,0.05,0.0002812,0,-0.0002812,100.6535872,100.6,172582156,16765093937,Source: 'api:OfelyaRza'
356174694,1.69E+15,7/18/2023 11:48,BTC-PERPETUAL,trade,open sell,5490,-2303220,29996.5,29995.06,29982.36,0,0,0.05,0.00009151,0,-0.00009151,100.6538684,100.6,172582155,16765093937,Source: 'api:OfelyaRza'
356174693,1.69E+15,7/18/2023 11:48,BTC-PERPETUAL,trade,open sell,20,-2297730,29997,29995.06,29982.36,0,0,0.049,3.30E-07,0,-3.30E-07,100.6539599,100.6,172582154,16765093937,Source: 'api:OfelyaRza'
356174692,1.69E+15,7/18/2023 11:48,BTC-PERPETUAL,trade,open sell,810,-2297710,29997,29995.06,29982.36,0,0,0.05,0.0000135,0,-0.0000135,100.6539602,100.6,172582153,16765093937,Source: 'api:OfelyaRza'
356174286,1.69E+15,7/18/2023 11:45,BTC-PERPETUAL,trade,open sell,30010,-2296900,30008.5,30010.15,30000.43,0,0,0.05,0.00050003,0,-0.00050003,100.6539737,100.56,172581952,16765066654,Source: 'api:OfelyaRza'
356173828,1.69E+15,7/18/2023 11:38,BTC-PERPETUAL,trade,open sell,30020,-2266890,30022,30022.66,30012.98,0,9.70E-07,0.05,0.00049997,0,-0.00049997,100.6544738,100.53,172581723,16765019045,Source: 'api:OfelyaRza'
356173442,1.69E+15,7/18/2023 11:33,BTC-PERPETUAL,trade,open sell,20050,-2236870,30050.5,30049.97,30035.56,0,0,0.05,0.00033361,0,-0.00033361,100.6549737,100.46,172581530,16764982184,Source: 'api:OfelyaRza'
356173441,1.69E+15,7/18/2023 11:33,BTC-PERPETUAL,trade,open sell,5000,-2216820,30050.5,30049.97,30035.56,0,0,0.05,0.00008319,0,-0.00008319,100.6553073,100.46,172581529,16764982184,Source: 'api:OfelyaRza'
356173440,1.69E+15,7/18/2023 11:33,BTC-PERPETUAL,trade,open sell,5000,-2211820,30050.5,30049.97,30035.56,0,1.00E-08,0.05,0.00008319,0,-0.00008319,100.6553905,100.46,172581528,16764982184,Source: 'api:OfelyaRza'
356173310,1.69E+15,7/18/2023 11:32,BTC-PERPETUAL,trade,open sell,29960,-2206820,30060,30059.3,30047.92,0,0,0.05,0.00049834,0,-0.00049834,100.6554737,100.44,172581465,16764972979,Source: 'api:OfelyaRza'
